0.50	0.50	0.02	0.36	0.87	0.05	0.21	0.99	0.74	0.85	0.81	0.24	0.39	0.63	0.60	0.18
-0.50	-0.50	-0.62	-0.13	-0.55	-0.27	-0.08	-0.86	-0.37	-0.91	-0.36	-0.94	-0.65	-0.74	-0.81	-0.65
0.50	0.50	0.47	0.72	0.80	0.11	0.37	0.18	0.27	0.79	0.68	0.69	0.50	0.61	0.79	0.94
-0.50	-0.50	-0.28	-0.31	-0.45	-0.01	-0.20	-0.24	-0.86	-0.76	-0.12	-0.27	-0.95	-0.23	-0.17	-0.13
0.50	0.50	0.06	0.96	0.76	0.12	0.45	0.74	0.05	0.82	0.12	0.91	0.82	0.43	0.73	0.27
-0.50	-0.50	-0.69	-0.92	-0.89	-0.36	-0.58	-0.22	-0.36	-0.98	-0.56	-0.45	-0.50	-0.75	-0.55	-0.99
0.50	0.50	0.99	0.41	0.19	0.73	0.63	0.06	0.45	0.17	0.85	0.55	0.78	0.85	0.65	0.20
-0.50	-0.50	-0.75	-0.89	-0.61	-0.82	-0.55	-0.13	-0.41	-0.20	-0.01	-0.68	-0.14	-0.92	-0.73	-0.03
0.50	0.50	0.49	0.58	0.38	0.22	0.97	0.67	0.58	0.61	0.71	0.62	0.96	0.59	0.89	0.41
-0.50	-0.50	-0.41	-0.05	-0.90	-0.40	-0.82	-0.61	-0.25	-0.91	-0.88	-0.16	-0.31	-0.89	-0.82	-0.91
0.50	0.50	0.98	0.38	0.61	0.27	0.80	1.00	0.31	0.69	0.15	0.28	0.66	0.44	0.23	0.66
-0.50	-0.50	-0.28	-0.65	-0.09	-0.42	-0.65	-0.27	-0.62	-0.35	-0.68	-0.97	-0.03	-0.46	-0.45	-0.82
0.50	0.50	0.42	0.13	0.83	0.71	0.43	0.99	0.38	0.08	0.02	0.54	0.07	0.32	0.73	0.47
-0.50	-0.50	-0.83	-0.62	-1.00	-0.50	-0.21	-0.55	-0.35	-0.15	-0.66	-0.58	-0.59	-0.09	-0.14	-0.63
0.50	0.50	0.16	0.45	0.66	0.30	0.36	0.16	0.12	0.63	0.78	0.15	0.42	0.03	0.15	0.65
-0.50	-0.50	-0.70	-0.36	-0.34	-0.88	-0.25	-0.03	-0.57	-0.69	-0.17	-0.40	-0.80	-0.55	-0.19	-0.73
0.50	0.50	0.25	0.89	0.12	0.27	0.79	0.81	0.25	0.25	0.66	0.93	0.84	0.92	0.57	0.52
-0.50	-0.50	-0.85	-0.52	-0.30	-0.83	-0.42	-0.19	-0.79	-0.80	-0.01	-0.14	-0.28	-0.71	-0.35	-0.31
0.50	0.50	0.12	0.36	0.84	0.85	0.32	0.47	0.29	0.48	0.20	0.44	0.78	0.87	0.71	0.48
-0.50	-0.50	-0.14	-0.52	-0.52	-0.87	-0.83	-0.01	-0.25	-0.66	-0.14	-0.58	-0.63	-0.23	-0.19	-0.17
0.50	0.50	0.77	0.91	0.35	0.82	0.61	0.94	0.94	0.82	0.51	0.51	0.88	0.92	0.48	0.67
-0.50	-0.50	-0.68	-0.88	-0.52	-0.30	-0.46	-0.60	-0.21	-0.91	-0.34	-0.88	-0.18	-0.99	-1.00	-0.64
0.50	0.50	0.61	0.16	0.72	0.22	0.90	0.56	0.49	0.27	0.98	0.91	0.72	0.20	0.24	0.84
-0.50	-0.50	-0.46	-0.88	-0.82	-0.76	-0.27	-0.81	-0.41	-0.41	-0.35	-0.11	-0.99	-0.32	-0.46	-0.75
0.50	0.50	0.36	0.31	0.91	0.36	0.72	0.62	0.77	0.91	0.28	0.42	0.07	0.60	0.60	0.20
-0.50	-0.50	-0.13	-0.57	-0.05	-0.39	-0.84	-0.99	-0.94	-0.28	-0.77	-0.21	-0.87	-0.85	-0.24	-0.72
0.50	0.50	0.88	0.41	0.85	0.67	0.74	0.22	0.06	0.16	0.67	0.20	0.20	0.42	0.85	0.97
-0.50	-0.50	-0.72	-0.98	-0.80	-0.78	-0.73	-0.62	-0.62	-0.82	-0.65	-0.25	-0.79	-0.15	-0.34	-0.11
0.50	0.50	0.02	0.95	0.00	0.35	0.17	0.26	0.67	0.71	0.82	0.60	0.26	0.74	0.31	0.30
-0.50	-0.50	-0.81	-0.55	-0.96	-0.79	-0.48	-0.52	-0.83	-0.30	-0.92	-0.72	-0.41	-0.84	-0.85	-0.80
0.50	0.50	0.99	0.91	0.52	0.75	0.97	0.56	0.52	0.21	0.62	0.86	0.77	0.88	0.79	0.29
-0.50	-0.50	-0.76	-0.40	-0.78	-0.96	-0.30	-0.58	-0.51	-0.83	-0.28	-0.06	-0.71	-0.66	-0.41	-0.55
0.50	0.50	0.39	0.48	0.12	0.39	0.16	0.21	0.95	0.20	0.47	0.08	0.15	0.26	0.11	0.56
-0.50	-0.50	-0.87	-0.05	-0.14	-0.27	-0.75	-0.77	-0.23	-0.77	-0.71	-0.82	-0.47	-0.84	-0.99	-0.58
0.50	0.50	0.91	0.41	0.67	0.87	0.97	0.53	0.72	0.42	0.51	0.69	0.21	0.82	0.66	0.20
-0.50	-0.50	-0.05	-0.30	-0.09	-0.66	-0.74	-0.30	-0.64	-0.68	-0.93	-0.21	-0.33	-0.78	-0.12	-0.76
0.50	0.50	0.89	0.88	0.32	0.87	0.21	0.24	0.61	0.77	0.81	0.84	0.37	0.72	0.08	0.15
